,selected clients id,sparse_categorical_accuracy,sparse_categorical_crossentropy,loss,num_examples,num_batches
0,"['0', '2']",0.46069881319999695,1.5381149053573608,1.5381149053573608,58815,2942
1,"['1', '0']",0.4609988331794739,1.4495395421981812,1.4495395421981812,29935,1498
2,"['1', '2']",0.46258920431137085,1.4559016227722168,1.4559016227722168,49050,2454
3,"['1', '2']",0.46258920431137085,1.452848196029663,1.452848196029663,49050,2454
4,"['0', '1']",0.4609988331794739,1.4390703439712524,1.4390703439712524,29935,1498
5,"['1', '2']",0.46258920431137085,1.4494339227676392,1.4494339227676392,49050,2454
6,"['0', '1']",0.4609988331794739,1.4358808994293213,1.4358808994293213,29935,1498
7,"['0', '2']",0.4614469110965729,1.4368482828140259,1.4368482828140259,58815,2942
8,"['2', '1']",0.46258920431137085,1.4451674222946167,1.4451674222946167,49050,2454
9,"['0', '2']",0.4614979028701782,1.4335278272628784,1.4335278272628784,58815,2942
10,"['1', '0']",0.46166694164276123,1.4297581911087036,1.4297581911087036,29935,1498
11,"['0', '2']",0.46275609731674194,1.4311107397079468,1.4311107397079468,58815,2942
12,"['2', '1']",0.4651172161102295,1.4397870302200317,1.4397870302200317,49050,2454
13,"['2', '0']",0.46676868200302124,1.4281224012374878,1.4281224012374878,58815,2942
14,"['0', '1']",0.46844831109046936,1.4245489835739136,1.4245489835739136,29935,1498
15,"['1', '2']",0.46817532181739807,1.4363324642181396,1.4363324642181396,49050,2454
16,"['2', '1']",0.4688073396682739,1.4349970817565918,1.4349970817565918,49050,2454
17,"['1', '2']",0.4691947102546692,1.4338191747665405,1.4338191747665405,49050,2454
18,"['0', '1']",0.47011858224868774,1.420143961906433,1.420143961906433,29935,1498
19,"['1', '2']",0.4688684940338135,1.4318772554397583,1.4318772554397583,49050,2454
20,"['1', '0']",0.47018539905548096,1.4179550409317017,1.4179550409317017,29935,1498
21,"['2', '0']",0.46950608491897583,1.419421911239624,1.419421911239624,58815,2942
22,"['1', '2']",0.4686034619808197,1.428863763809204,1.428863525390625,49050,2454
23,"['0', '1']",0.47025221586227417,1.415022373199463,1.415022373199463,29935,1498
24,"['2', '0']",0.4695230722427368,1.4165046215057373,1.4165046215057373,58815,2942
25,"['0', '1']",0.4700183868408203,1.4131519794464111,1.4131519794464111,29935,1498
26,"['0', '1']",0.47008517384529114,1.4122974872589111,1.4122974872589111,29935,1498
27,"['0', '2']",0.4694550633430481,1.414157748222351,1.414157748222351,58815,2942
28,"['2', '0']",0.46948906779289246,1.4130531549453735,1.4130531549453735,58815,2942
29,"['2', '0']",0.46947208046913147,1.4120492935180664,1.4120492935180664,58815,2942
30,"['0', '2']",0.46950608491897583,1.4109907150268555,1.4109907150268555,58815,2942
31,"['1', '0']",0.4698513448238373,1.4078973531723022,1.4078973531723022,29935,1498
32,"['1', '2']",0.4682772755622864,1.4205732345581055,1.4205732345581055,49050,2454
33,"['0', '1']",0.4698847532272339,1.4063910245895386,1.4063910245895386,29935,1498
34,"['0', '1']",0.4698513448238373,1.405669927597046,1.4056700468063354,29935,1498
35,"['0', '1']",0.4699515700340271,1.405052900314331,1.405052900314331,29935,1498
36,"['1', '2']",0.4682772755622864,1.418412685394287,1.418412685394287,49050,2454
37,"['2', '0']",0.46950608491897583,1.4060581922531128,1.4060581922531128,58815,2942
38,"['2', '0']",0.4696080982685089,1.405239462852478,1.405239462852478,58815,2942
39,"['2', '0']",0.4696930944919586,1.4042867422103882,1.4042867422103882,58815,2942
40,"['2', '0']",0.46974411606788635,1.4035162925720215,1.4035162925720215,58815,2942
41,"['2', '1']",0.46841996908187866,1.4139264822006226,1.4139264822006226,49050,2454
42,"['1', '0']",0.4699849784374237,1.3997998237609863,1.3997998237609863,29935,1498
43,"['0', '2']",0.4697951078414917,1.4012507200241089,1.4012507200241089,58815,2942
44,"['1', '0']",0.4699515700340271,1.3984203338623047,1.3984203338623047,29935,1498
45,"['2', '0']",0.4699821472167969,1.4000608921051025,1.4000608921051025,58815,2942
46,"['1', '0']",0.4703190326690674,1.3971810340881348,1.3971810340881348,29935,1498
47,"['1', '2']",0.4689704477787018,1.410407304763794,1.410407304763794,49050,2454
48,"['2', '0']",0.47035619616508484,1.3982133865356445,1.3982133865356445,58815,2942
49,"['1', '2']",0.4693170189857483,1.4088255167007446,1.4088255167007446,49050,2454
50,"['0', '1']",0.470352441072464,1.3947467803955078,1.3947467803955078,29935,1498
51,"['0', '2']",0.47067925333976746,1.3962777853012085,1.3962777853012085,58815,2942
52,"['1', '0']",0.47051945328712463,1.3933559656143188,1.3933559656143188,29935,1498
53,"['1', '2']",0.4698063135147095,1.406836986541748,1.406836986541748,49050,2454
54,"['2', '0']",0.4712403416633606,1.394505262374878,1.394505262374878,58815,2942
55,"['1', '2']",0.47041794657707214,1.405303716659546,1.405303716659546,49050,2454
56,"['2', '0']",0.4714953601360321,1.3931465148925781,1.3931463956832886,58815,2942
57,"['0', '2']",0.47222647070884705,1.3924323320388794,1.3924323320388794,58815,2942
58,"['1', '0']",0.4716552495956421,1.3898522853851318,1.3898522853851318,29935,1498
59,"['0', '1']",0.4718222916126251,1.3890904188156128,1.3890904188156128,29935,1498
60,"['1', '0']",0.47142142057418823,1.388755440711975,1.388755440711975,29935,1498
61,"['1', '2']",0.4719673693180084,1.4026821851730347,1.4026821851730347,49050,2454
62,"['2', '1']",0.47204893827438354,1.401741862297058,1.401741862297058,49050,2454
63,"['1', '2']",0.47202855348587036,1.401179313659668,1.401179313659668,49050,2454
64,"['2', '0']",0.473807692527771,1.3889559507369995,1.3889559507369995,58815,2942
65,"['2', '0']",0.47401171922683716,1.38825523853302,1.38825523853302,58815,2942
66,"['2', '1']",0.4732925593852997,1.399358868598938,1.399358868598938,49050,2454
67,"['0', '2']",0.4741477370262146,1.3871828317642212,1.3871828317642212,58815,2942
68,"['1', '2']",0.4735372066497803,1.3981945514678955,1.3981945514678955,49050,2454
69,"['1', '0']",0.47332555055618286,1.384016990661621,1.3840171098709106,29935,1498
70,"['1', '0']",0.4733923375606537,1.3834631443023682,1.3834631443023682,29935,1498
71,"['2', '0']",0.4750998914241791,1.38522469997406,1.38522469997406,58815,2942
72,"['2', '1']",0.4740672707557678,1.3966032266616821,1.3966032266616821,49050,2454
73,"['0', '2']",0.4755079448223114,1.3842006921768188,1.3842005729675293,58815,2942
74,"['1', '0']",0.4744279384613037,1.381700873374939,1.381700873374939,29935,1498
75,"['1', '2']",0.47484201192855835,1.3952444791793823,1.3952444791793823,49050,2454
76,"['2', '1']",0.47506624460220337,1.3945763111114502,1.3945763111114502,49050,2454
77,"['0', '2']",0.4760860204696655,1.3822741508483887,1.3822741508483887,58815,2942
78,"['1', '0']",0.47492900490760803,1.379878044128418,1.379878044128418,29935,1498
79,"['0', '1']",0.47456154227256775,1.3793463706970215,1.3793463706970215,29935,1498
80,"['2', '0']",0.47673213481903076,1.381216287612915,1.381216287612915,58815,2942
81,"['2', '1']",0.47531092166900635,1.392638921737671,1.392638921737671,49050,2454
82,"['1', '0']",0.4751962721347809,1.3781492710113525,1.3781492710113525,29935,1498
83,"['1', '0']",0.47549691796302795,1.3776170015335083,1.3776170015335083,29935,1498
84,"['2', '0']",0.4776332676410675,1.3795768022537231,1.3795768022537231,58815,2942
85,"['1', '0']",0.4755971133708954,1.3769080638885498,1.3769080638885498,29935,1498
86,"['1', '2']",0.476901113986969,1.3909437656402588,1.3909437656402588,49050,2454
87,"['1', '0']",0.47593119740486145,1.3762881755828857,1.3762881755828857,29935,1498
88,"['1', '2']",0.476901113986969,1.3901515007019043,1.3901515007019043,49050,2454
89,"['0', '1']",0.47593119740486145,1.3755470514297485,1.3755470514297485,29935,1498
90,"['0', '1']",0.4764656722545624,1.3752037286758423,1.3752037286758423,29935,1498
91,"['2', '1']",0.4773292541503906,1.389319896697998,1.389319896697998,49050,2454
92,"['1', '0']",0.47636544704437256,1.3745907545089722,1.3745907545089722,29935,1498
93,"['1', '0']",0.4769667685031891,1.3741580247879028,1.3741580247879028,29935,1498
94,"['1', '0']",0.4769667685031891,1.3737096786499023,1.3737096786499023,29935,1498
95,"['1', '0']",0.47713378071784973,1.3733813762664795,1.3733813762664795,29935,1498
96,"['1', '0']",0.47723400592803955,1.3730545043945312,1.3730543851852417,29935,1498
97,"['2', '1']",0.4786544442176819,1.387797474861145,1.387797474861145,49050,2454
98,"['0', '1']",0.4778352975845337,1.3725475072860718,1.3725475072860718,29935,1498
99,"['0', '2']",0.4801156222820282,1.3747143745422363,1.3747144937515259,58815,2942
100,"['0', '2']",0.4800476133823395,1.3742913007736206,1.3742913007736206,58815,2942
101,"['1', '0']",0.4779021143913269,1.3716553449630737,1.3716553449630737,29935,1498
102,"['0', '1']",0.4783029854297638,1.371188998222351,1.371188998222351,29935,1498
103,"['0', '2']",0.4808127284049988,1.3733328580856323,1.3733328580856323,58815,2942
104,"['1', '2']",0.47975534200668335,1.3849555253982544,1.3849555253982544,49050,2454
105,"['1', '0']",0.4793051481246948,1.3703669309616089,1.3703669309616089,29935,1498
106,"['2', '0']",0.48093172907829285,1.3721232414245605,1.3721232414245605,58815,2942
107,"['1', '2']",0.4805096983909607,1.3839678764343262,1.3839678764343262,49050,2454
108,"['0', '1']",0.4796058237552643,1.3693864345550537,1.3693864345550537,29935,1498
109,"['2', '1']",0.48079511523246765,1.3831647634506226,1.3831647634506226,49050,2454
110,"['2', '0']",0.4822749197483063,1.3706207275390625,1.3706207275390625,58815,2942
111,"['2', '0']",0.48256397247314453,1.3701194524765015,1.3701194524765015,58815,2942
112,"['0', '1']",0.4801737070083618,1.3679274320602417,1.3679274320602417,29935,1498
